host_id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews
6731712,Port Phillip,-37.85844,144.98894,Private room,1,1 bath,1,1,"[""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Dedicated workspace"", ""Essentials"", ""Self check-in"", ""Lockbox"", ""TV"", ""Heating""]",39.0,2,23
6610760,Stonnington,-37.83363,144.99019,Entire home/apt,2,1 bath,1,1,"[""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Portable heater"", ""Books and reading material"", ""Free street parking"", ""Hot water"", ""Shared patio or balcony"", ""Dining table"", ""Paid washer \u2013 In building"", ""Smoke alarm"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Hangers"", ""Smart lock"", ""Essentials"", ""Toaster"", ""Clothing storage"", ""Hair dryer"", ""TV"", ""Long term stays allowed"", ""Oven"", ""Coffee"", ""Shop Neutral  body soap"", ""Bathtub"", ""Electric stove"", ""Portable fans"", ""Paid dryer \u2013 In building"", ""Laundromat nearby"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Single level home"", ""Iron"", ""Extra pillows and blankets"", ""Self check-in"", ""Cooking basics"", ""Cleaning products""]",115.0,3,167
6784059,Melbourne,-37.80542,144.96642,Entire home/apt,4,1 bath,2,2,"[""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Free parking garage on premises \u2013 1 space"", ""Portable heater"", ""Hot water"", ""Dining table"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Hangers"", ""Essentials"", ""Toaster"", ""TV"", ""Room-darkening shades"", ""Oven"", ""Long term stays allowed"", ""Ceiling fan"", ""Stove"", ""Patio or balcony"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Dishwasher"", ""Freezer"", ""Iron"", ""Private entrance""]",263.0,4,45
190879,Melbourne,-37.81266,144.96313,Entire home/apt,4,1.5 baths,1,2,"[""Stainless steel gas stove"", ""Microwave"", ""AC - split type ductless system"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Dishwasher"", ""Heating"", ""City skyline view"", ""Paid parking off premises"", ""Iron"", ""Extra pillows and blankets"", ""Cooking basics""]",240.0,2,415
3079228,Merri-bek,-37.77542,144.96894,Entire home/apt,2,1 bath,1,1,"[""Microwave"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""HDTV"", ""Hair dryer"", ""Shampoo"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Backyard"", ""Air conditioning"", ""Heating"", ""Single level home"", ""Iron"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Washer""]",114.0,3,355
3304934,Monash,-37.89329,145.08205,Entire home/apt,2,1 bath,2,1,"[""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Washer"", ""Fire extinguisher"", ""Free street parking"", ""Host greets you"", ""TV"", ""Air conditioning"", ""Heating""]",142.0,5,35
50121,Yarra,-37.82127,144.99408,Entire home/apt,2,1 bath,1,1,"[""Microwave"", ""Lockbox"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Refrigerator"", ""Dishwasher"", ""Air conditioning"", ""Heating"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Self check-in"", ""Cooking basics"", ""Washer""]",94.0,3,70
326880,Boroondara,-37.80347,145.03583,Private room,1,1 shared bath,1,1,"[""Microwave"", ""Free street parking"", ""Lockbox"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Oven"", ""Stove"", ""Refrigerator"", ""Air conditioning"", ""Heating"", ""City skyline view"", ""Dryer"", ""Paid parking off premises"", ""Iron"", ""Extra pillows and blankets"", ""Self check-in"", ""Private patio or balcony"", ""Cooking basics"", ""Indoor fireplace"", ""Washer""]",50.0,2,225
193031,Frankston,-38.14931,145.1419,Private room,1,1.5 shared baths,1,1,"[""Microwave"", ""Lake access"", ""AC - split type ductless system"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Hangers"", ""Essentials"", ""90\"" HDTV with standard cable, DVD player"", ""Hair dryer"", ""Long term stays allowed"", ""Shampoo"", ""Oven"", ""Shared backyard \u2013 Fully fenced"", ""Shared hot tub"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Heating"", ""Outdoor furniture"", ""Iron"", ""Courtyard view"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Free parking on premises"", ""Bosch stainless steel gas stove""]",69.0,7,38
6824697,Maribyrnong,-37.81654,144.89004,Entire home/apt,2,1 bath,1,1,"[""Drying rack for clothing"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Body soap"", ""Air conditioning"", ""Heating"", ""Outdoor furniture"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Cleaning products"", ""Free parking on premises"", ""Washer""]",200.0,3,99
